,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
357,num_of_word_24_num_of_word_31_div,84,21,97,52,59,62.6
410,num_of_word_5_num_of_word_15_mul,54,58,19,72,109,62.4
368,num_of_word_2_num_of_word_8_mul,23,55,108,27,99,62.4
325,num_of_word_14_num_of_word_27_div,30,58,70,46,108,62.4
391,num_of_word_11_num_of_word_7_div,44,53,57,65,93,62.4
328,num_of_word_46_num_of_word_42_div,0,113,46,26,127,62.4
326,num_of_word_0_num_of_word_22_mul,60,65,75,62,50,62.4
420,num_of_word_17_num_of_word_11_div,64,35,59,46,107,62.2
343,num_of_word_12_num_of_word_15_mul,48,114,59,33,56,62.0
432,num_of_word_3_num_of_word_6_mul,30,22,25,38,195,62.0
330,num_of_word_5_num_of_word_10_div,47,93,52,59,58,61.8
278,num_of_word_16_num_of_word_15_div,51,78,51,53,76,61.8
443,num_of_word_5_num_of_word_20_div,35,46,80,85,63,61.8
390,num_of_word_12_cnt_X_div,27,29,67,15,169,61.4
427,num_of_word_0_num_of_word_5_mul,61,59,20,40,126,61.2
408,num_of_word_6_cnt_X_mul,34,38,63,32,138,61.0
250,cnt_Y_num_of_word_8_div,36,84,106,51,28,61.0
345,num_of_word_19_num_of_word_33_mul,53,41,64,78,69,61.0
474,cnt_X_num_of_word_1_div,49,31,65,43,116,60.8
428,num_of_word_10_num_of_word_15_div,59,35,105,27,77,60.6
450,cnt_X_num_of_word_4_div,44,26,74,50,108,60.4
416,num_of_word_3_num_of_word_15_mul,61,63,89,46,42,60.2
377,num_of_word_0_num_of_word_7_div,24,18,89,78,92,60.2
423,cnt_X_cnt_Y_div,56,79,83,38,44,60.0
364,num_of_word_11_num_of_word_20_mul,22,68,35,57,117,59.8
402,num_of_word_19_num_of_word_14_div,55,15,61,23,145,59.8
404,num_of_word_14_num_of_word_23_div,34,10,52,15,185,59.2
383,num_of_word_10_num_of_word_11_mul,55,62,23,16,139,59.0
429,num_of_word_17,15,34,89,39,117,58.8
411,num_of_word_23_num_of_word_22_mul,73,56,72,23,68,58.4
472,num_of_word_1_num_of_word_9_div,112,21,24,74,61,58.4
405,num_of_word_17_num_of_word_21_div,44,20,117,47,63,58.2
439,num_of_word_19_num_of_word_21_mul,33,79,73,16,89,58.0
430,num_of_word_15_num_of_word_27_div,16,71,85,35,82,57.8
457,num_of_word_4_num_of_word_8_div,38,46,73,81,50,57.6
451,num_of_word_21_num_of_word_32_mul,22,26,44,89,107,57.6
455,num_of_word_11,36,47,28,42,134,57.4
446,num_of_word_14_num_of_word_29_mul,116,2,91,53,23,57.0
436,num_of_word_15_cnt_Z_mul,42,41,89,45,68,57.0
380,num_of_word_8_num_of_word_2_div,17,33,22,43,168,56.6
392,num_of_word_7_num_of_word_9_mul,41,46,111,35,49,56.4
433,num_of_word_35_num_of_word_28_mul,22,19,31,72,136,56.0
456,num_of_word_30_num_of_word_35_div,46,19,62,104,49,56.0
414,num_of_word_52,73,6,18,55,127,55.8
425,num_of_word_0_num_of_word_19_div,109,35,17,46,71,55.6
460,cnt_Y_num_of_word_33_mul,37,35,63,65,78,55.6
478,num_of_word_9_num_of_word_14_mul,10,51,5,34,176,55.2
389,num_of_word_3_num_of_word_9_mul,40,103,36,43,54,55.2
435,num_of_word_22_num_of_word_5_div,54,58,36,19,105,54.4
476,num_of_word_3_num_of_word_7_div,42,60,61,38,71,54.4
470,num_of_word_9_num_of_word_10_mul,14,49,76,56,77,54.4
406,num_of_word_17_cnt_Z_mul,14,57,37,62,101,54.2
444,num_of_word_12_num_of_word_5_div,17,78,20,63,93,54.2
465,num_of_word_20_num_of_word_33_mul,45,21,74,52,76,53.6
471,num_of_word_26_num_of_word_33_div,17,62,11,32,146,53.6
468,num_of_word_2_num_of_word_11_mul,56,23,61,45,79,52.8
415,num_of_word_26_cnt_X_div,29,96,38,20,80,52.6
464,cnt_X_num_of_word_9_div,28,94,14,15,111,52.4
417,num_of_word_10_num_of_word_13_mul,36,39,55,55,76,52.2
403,num_of_word_22_cnt_X_div,44,11,96,14,96,52.2
467,num_of_word_13_num_of_word_5_div,17,69,21,91,62,52.0
422,num_of_word_25_num_of_word_32_mul,15,83,4,81,76,51.8
481,num_of_word_6_num_of_word_12_div,56,40,23,30,108,51.4
395,num_of_word_20_num_of_word_24_div,15,57,82,42,60,51.2
453,num_of_word_16_num_of_word_1_div,36,14,56,40,110,51.2
401,num_of_word_9_num_of_word_3_div,49,39,25,33,108,50.8
379,num_of_word_9,66,28,60,48,48,50.0
461,num_of_word_6_num_of_word_5_div,27,72,41,37,72,49.8
475,num_of_word_8_num_of_word_1_div,25,91,42,40,50,49.6
482,num_of_word_10_num_of_word_9_div,58,65,27,52,46,49.6
385,num_of_word_17_cnt_Z_div,42,27,53,24,100,49.2
418,num_of_word_8_num_of_word_3_div,45,39,61,23,71,47.8
479,num_of_word_37_num_of_word_10_div,89,14,54,25,56,47.6
421,num_of_word_19_num_of_word_28_div,124,12,28,46,27,47.4
477,num_of_word_10_num_of_word_42_mul,23,55,51,38,67,46.8
483,cnt_Y_cnt_Z_div,36,12,52,60,71,46.2
489,num_of_word_3_num_of_word_1_mul,33,93,36,32,37,46.2
485,num_of_word_33_num_of_word_29_div,44,30,49,78,29,46.0
473,num_of_word_2_num_of_word_3_mul,35,20,50,46,76,45.4
469,num_of_word_5_num_of_word_7_div,40,34,74,44,31,44.6
480,num_of_word_13_num_of_word_17_div,31,31,86,34,39,44.2
382,num_of_word_9_num_of_word_20_mul,49,42,75,10,37,42.6
486,num_of_word_58_num_of_word_42_div,59,30,18,19,85,42.2
491,num_of_word_10_num_of_word_7_mul,43,40,28,32,67,42.0
466,num_of_word_6_num_of_word_12_mul,13,22,64,49,56,40.8
493,num_of_word_25_cnt_X_mul,81,19,39,13,52,40.8
484,num_of_word_42_num_of_word_46_div,11,4,79,79,21,38.8
488,num_of_word_1_cnt_Y_div,25,28,48,31,56,37.6
487,num_of_word_13_num_of_word_10_div,12,46,38,53,35,36.8
490,num_of_word_37_cnt_X_div,29,37,53,34,29,36.4
440,num_of_word_8_num_of_word_13_div,15,38,51,9,55,33.6
492,num_of_word_23_num_of_word_40_div,22,19,75,6,37,31.8
